experiment	tag	decode_tok_s	batch32_tok_s	accept_length	status	description
163	gpu91_ctx1024	0.0	7368	N/A	REVERT	gpu=0.91 + ctx=1024: 7368@bs96. Worse than gpu=0.90.
164	seqs64	0.0	5527	N/A	REVERT	max_num_seqs=64: 5527@bs192. Too restrictive.
165	seqs128	0.0	6063	N/A	REVERT	max_num_seqs=128: 6063@bs96. Worse than default 256.
166	seqs256	0.0	7847	N/A	KEEP	max_num_seqs=256 (default): 7847@bs128. Best.
167	align_mode	123.3	8038	N/A	KEEP	mamba-cache-mode=align: 8038@bs128. Cliff softened.
168	align_noprefix_ctx2048	0.0	8155	N/A	KEEP	align + ctx2048 + no prefix: 8155@bs128. No hard cliff - 6155@bs256 still usable.
169	align_sustained_batch	0.0	7744	N/A	KEEP	KEY: align mode sustains 6000-7700 tok/s from bs96 to bs512. No cliff! 6262@bs512 vs 1023 without.
170	server_batch_32	0.0	2973	N/A	KEEP	vLLM server: 32 concurrent → 2973 output tok/s
171	server_batch_64	0.0	4574	N/A	KEEP	vLLM server: 64 concurrent → 4574 output tok/s
172	server_batch_128	0.0	7981	N/A	KEEP	vLLM server: 128 concurrent → 7981 peak output tok/s, 6862 sustained. Matches LLM API.
173	ctx64K_production	112.0	7209	N/A	KEEP	PRODUCTION CONFIG: ctx=64K + FP8 KV + Mamba FP16: decode=112, batch=7209@bs128. Only -13% vs ctx=1K. Quality OK.
174	tool_calling_works	0.0	0	N/A	KEEP	vLLM tool calling VERIFIED: single call, parallel calls (2 cities), no-tool bypass, multi-step chain. All pass with --enable-auto-tool-choice --tool-call-parser qwen3_xml
175	35b_nvfp4_baseline	11.2	55	N/A	KEEP	35B-A3B NVFP4: decode=11.2 tok/s, conc16=55 tok/s. Quality OK. Tool calling OK (parallel). gpu=0.93, ctx=4096, FP8 KV + Mamba FP16.
