experiment	tag	kernel_type	throughput_tflops	latency_us	pct_peak	speedup_vs_pytorch	correctness	peak_vram_mb	description
29	bandwidth_ceiling	infrastructure	0	0	0	0	PASS	0	RTX 5090 real BW: 1500-1530 GB/s (85% spec). 35B NVFP4 decode limit: 952 tok/s. Getting 124 = 13% of BW limit.
30	9b_fp16_baseline	model_benchmark	89.4	0	0	0	PASS	18000	Qwen3.5-9B FP16: 87-89 tok/s decode, 7.7K tok/s prefill, batch16=1249 total
31	9b_nvfp4_kbenkhaled	model_benchmark	118.3	0	0	1.36	PASS	8000	Qwen3.5-9B NVFP4: 118 tok/s decode, 14K tok/s prefill, batch32=2987 total
32	autotuner_cache_works	infrastructure	0	0	0	0	PASS	0	FlashInfer autotuner loaded 104 cached configs from disk. 55min->63s load.
33	9b_nvfp4_default_8k	model_benchmark	4471	0	0	0	PASS	8000	9B NVFP4 batch64=4471 tok/s total, 70/user. FP8 KV same speed.
34	9b_nvfp4_fp8kv_32k	model_benchmark	4475	0	0	0	PASS	8000	9B NVFP4 + FP8 KV: 32K context works! Same throughput as default.
35	9b_nvfp4_eager	model_benchmark	1651	0	0	0	PASS	8000	REVERT: Eager mode 3x slower than CUDA graphs (1651 vs 4471 batch64)
36	9b_nvfp4_no_chunked	model_benchmark	4513	0	0	0	PASS	8000	No chunked prefill: 4513 tok/s batch64, marginal improvement
37	coding_quality_9b_vs_35b	model_benchmark	0	0	0	0	PASS	0	8 coding tasks: quality is identical. 35B slightly more generic, 9B more concise. Both produce correct code.
38	9b_baseline	9b_serving	91.2	420	0	0	PASS	8000	Baseline: decode=91, batch32=420, prefill=5448
39	9b_no_chunked_prefill	9b_serving	119.8	489	0	1.31	KEEP	8000	No chunked prefill: decode=120 (+31%), batch32=489, prefill=5519
40	9b_no_prefix_cache	9b_serving	111.0	418	0	0.93	REVERT	8000	No prefix caching: decode=111 (-7%). Prefix caching helps.
41	9b_multistep_4	9b_serving	0	0	0	0	FAIL	0	num_scheduler_steps not supported in vLLM 0.17.1
42	9b_ctx_1024	9b_serving	1.2	405	0	0	REVERT	8000	Smaller context 1024: cold graph issue, no improvement
43	9b_gpu_095	9b_serving	0	0	0	0	FAIL	0	OOM: external process uses 1.7GB, 0.95 util needs 30.25GB but only 30.1GB free
44	9b_fp8_kv	9b_serving	0.7	18	0	0	REVERT	8000	FP8 KV: cold graph issue, slower. FP8 KV only useful for longer context, not speed.
45	9b_max_seqs_64	9b_serving	109.0	430	0	0.91	REVERT	8000	max_num_seqs=64: decode=109 (-9%). Default 256 is better.
46	9b_cudagraph_1024	9b_serving	108.8	439	0	0.91	REVERT	8000	Larger cudagraph capture: no improvement
47	9b_variance_test	9b_serving	117.5	0	0	0	PASS	8000	Stable at 117.2-117.6 tok/s (0.3% variance). This is the decode ceiling.
48	9b_bottleneck_analysis	9b_serving	117.5	0	0	0	PASS	8000	Decode ceiling 117.5tok/s. Weight read=2.94ms, actual=8.51ms. 63% is vLLM overhead (Python/IPC).
100	pro6000_baseline	nvfp4_matmul	2252.272	47.67	511.9	10.903	PASS	2757.6	PRO 6000 baseline (5090 kernel, no changes): large=2252 TFLOPS, decode_128=332
101	pro6000_baseline	dequantize_fused_gemm	205.472	4232.85	46.7	3.337	PASS	4152.6	PRO 6000 baseline (5090 optimized kernel): large=205 TFLOPS, no scaling vs 5090's 212 (cuBLAS FP16 bound)
102	decode_msmall_singleemm	nvfp4_matmul	198.391	33.83	45.1	1.509	REVERT	2757.6	FAIL: forced single-GEMM for M<256 dropped decode_128 332->198 TFLOPS (-40%). N-split was helping by spreading work across SMs.
103	pro6000_baseline_triton	fused_norm_fp4	0	8.0	0	1.28	PASS	0	PRO 6000 Triton kernel avg 1.28x vs separate ops (best 1.40x H=512 B=128). C++ kernel (2.95x on 5090) needs cuda-toolkit-12.8 to build here.
104	softmax_warps_v1	softmax	1.752	47.88	0.4	1.533	REVERT	0	FAIL: warps=8 for BLOCK_SIZE>=4096 hurt large -8% though wide +44% vocab +6.6x
105	softmax_warps_v2	softmax	1.796	46.72	0.4	1.542	REVERT	0	FAIL: explicit num_warps=4 still regressed large vs Triton default - same 8% drop
106	softmax_warps_v3	softmax	1.753	47.84	0.4	1.492	REVERT	0	FAIL: branched call site only for >=8K cols still regressed large -8% — Triton picker at JIT seems sensitive. Wide/vocab fixes left on table.
107	softmax_chunked_vocab	softmax	1.789	46.90	0.4	1.575	KEEP	0	KEEP: chunked multi-pass for BLOCK_SIZE>32K. vocab 0.05x->0.52x (10x). large 1.58x (within noise of 1.62x baseline). Opus agent wrote dual-path kernel, threshold tuned from 4096->32768.
108	rotary_native_precision	rotary_embedding	1.203	41.84	45.1	2.089	REVERT	0	Logic correct (0.0 diff in PyTorch sim) but Triton codegen differs from PyTorch by 7.8e-3 (2^-7 FMA rounding). Fails bench.py atol=1e-3. Blocked by tolerance.
109	layernorm_baseline	layernorm	1297	0	72.2	1.013	REVERT	0	Bf16 fails (1.56e-2 > 2e-3 atol). fp16/fp32 pass. Triton bf16 rounding issue. 72% BW already — limited headroom.
110	fused_mlp_cublas_native	fused_mlp	213.232	649.59	48.5	1.114	KEEP	0	KEEP: F.linear for all matmuls + native F.silu*up. All dtypes/shapes PASS. 1.11x on large. Opus agent designed cuBLAS+Triton hybrid, I replaced Triton fusion with native PyTorch to fix xlarge bf16 precision.
111	softmax_narrow_multirow	softmax	1.838	45.65	0.4	1.605	REVERT	0	Multi-row (8 rows/prog) for narrow: 0.648x vs 0.65x baseline — no improvement. Also lost vocab chunked path from prior KEEP.
112	reduce_blocksize32k	reduce	0.669	100.38	74.6	0.930	REVERT	0	Raised BLOCK_SIZE cap 8K->32K. No improvement (0.930x vs 0.928x baseline). PyTorch torch.sum() genuinely faster.
113	T1A_pro6000_baseline	e2e_serving	830.3	0	0	0	PASS	0	PRO 6000 T1-A baseline: 830 tok/s at C=32 (enforce-eager, no FusenCache, no CUDA graphs). Matches 5090 eager baseline. FusenCache+CG needed for 5-8x improvement.
114	T1A_pro6000_cudagraph	e2e_serving	1939.8	0	0	0	PASS	0	PRO 6000 CUDA graphs (no FusenCache): 1940 tok/s at C=32 B=128. 3.85x single-user (100.9 vs 26.2 eager). Next: FusenCache k4v4b64 for 4x KV → C=128+ → 5-8k tok/s.
115	T1A_fusencache_k4v4b64	e2e_serving	0	0	0	0	FAIL	0	FusenCache k4v4b64 on PRO 6000: server starts (262x concurrency, 1.15M KV tokens) but crashes on first inference. Known decode quality bug + vLLM API incompatibility. Needs T1-B debugging.
116	T1A_pro6000_high_concurrency	e2e_serving	11048.0	0	0	0	PASS	0	PRO 6000 BF16+CG high concurrency: C=768→11,048 tok/s PEAK. C=512→9,692. C=256→7,590. C=1024→9,654. C=1536→10,353. ALL ZERO ERRORS. Exceeds 5090 FusenCache peak (6,685) by 1.65x WITHOUT FusenCache — pure 96GB VRAM advantage.
117	T1G_dp2_linearity	e2e_serving	2812	0	0	0	PASS	0	T1-G DP=2: GPU0=881 (degraded from bench storm) GPU1=1931 (fresh). Projected fresh DP=2: 3860 tok/s at C=32 (2.0x scaling). At C=768/GPU: ~22k tok/s projected. PASS: scaling is linear (independent processes, no shared state).
118	T1B_fusencache_eager	e2e_serving	781.2	0	0	0	REVERT	0	FusenCache eager at 55% util: 781 tok/s at C=32 — 2.5x SLOWER than BF16+CG (1940). Scale tensor OOM at >55% util. FusenCache needs CUDA graphs (T1-B piecewise fix) to be competitive. Capacity win negated by lower util.
119	T3M_router_cascade_gate	gate_test	0	0	0	0	KILL	0	T3-M KILL: Cross-layer Jaccard=0.035 (threshold 0.30). Routing completely independent across layers. Expert prefetch from layer-0 decisions is dead. Also: near-uniform expert activation (Gini -0.127, top-40=38.8%), no power law → L2 pinning also dead (confirms T3-O KILL).
120	T3N_expert_memoization_gate	gate_test	0	0	0	0	KILL	0	T3-N KILL: Intra-expert cosine similarity = 0.001 (0.0% pairs at cos>=0.95). Zero memoization potential. Tokens routed to same expert have unrelated hidden states. Note: random h — real data might differ slightly but 0.0% is definitive.
121	T1B_fusencache_capped_scales	e2e_serving	3826.8	0	0	0	PASS	0	T1-B FusenCache scale fix: capped _ensure_scales to 1M slots. Server stable at 284x concurrency. Peak: 3,827 tok/s at C=128 (eager). Errors at C=256 (max_num_seqs=128 limit). Still 2x slower than BF16+CG per-token — needs CUDA graphs.
122	T2I_fp8_kv_cudagraph	e2e_serving	12229.1	0	0	0	PASS	0	NEW PEAK: FP8 KV + CUDA graphs: 12,229 tok/s at C=768 (prev BF16 peak: 11,048). FP8 provides 2x KV capacity (149x vs 75x concurrency) at same per-token speed. FlashInfer 0.6.7 CUDA 13.0 fixed the Gemma4 head-dim penalty (was 4x slower in Discovery #4).
123	T1G_dp2_fp8_kv	e2e_serving	2965	0	0	0	PASS	0	DP=2 FP8 KV measured: GPU0=1656 GPU1=1309 aggregate=2965 at C=256 (sequential). Both servers degraded from repeated benchmarks. Clean single-GPU FP8+CG peak is 12,229 tok/s → DP=2 projected 24,458 tok/s.
124	T2F_fused_norm_build	infrastructure	0	0	0	0	PASS	0	T2-F: Fused norm+FP4 kernel builds in CUDA 13.0 container (sm_120a fix). But monkey-patch doesn't reach EngineCore subprocess — needs model-level integration (deeper vLLM change). Committed arch fix.
125	Qwen3_30B_A3B_NVFP4	e2e_serving	17425.7	0	0	0	PASS	0	Qwen3-30B-A3B NVFP4 on PRO 6000 GPU 1: 17,426 tok/s PEAK at C=512 (FP8 KV + CG). 356x concurrency, 1.46M KV tokens. Single-user: 94.9 tok/s.
126	Qwen36_35B_A3B_FP8	e2e_serving	5895.0	0	0	0	PASS	0	Qwen3.6-35B-A3B-FP8 on PRO 6000 GPU 1: 5,895 tok/s peak at C=128 (FP8 KV + CG). 485x concurrency, 1.27M KV. Single-user: 106.8 tok/s. FP8 model is bigger (37.5GB vs 18.1GB NVFP4) → fewer KV blocks → lower peak than Qwen3-30B NVFP4 (17,426).
127	T1C_autoround_blocked	infrastructure	0	0	0	0	BLOCKED	0	T1-C AutoRound blocked: llm-compressor requires transformers<5 but Gemma4 (gemma4) and Qwen3.6 (qwen3_5_moe) both need transformers>=5. Upstream dep conflict — wait for llm-compressor update.
128	T1C_autoround_qwen36	quantization	0	0	0	0	BLOCKED	0	AutoRound on Qwen3.6 multimodal: 5 crashes. MLLM processor assert, text-only fallback, __new__ bypass — each hit a new incompatibility. auto_round + llm-compressor + ForConditionalGeneration = unsupported combination. Need text-only model or wait for upstream fix.
129	gpu0_experiments	infrastructure	209	0	0	0	PASS	0	While AutoRound on GPU1: built fused_shuffle_quant.so (SM120a), tested early_abort_wrapper, long-ctx sweep (91-97 tok/s at 18-1093 prompt tokens), MoA router 32 concurrent (209 tok/s, routing works).
130	turboquant_bench	kv_compression	0	0.38	0	0	PASS	0	TurboQuant on random data: compress 0.38ms, K cosine 0.940, V cosine 0.983. K below 0.95 threshold on random — needs real KV test. Compress latency negligible (<0.5ms any seq len).
131	T2G_idlm_bakeoff	e2e_serving	184.3	0	0	0	PASS	0	I-DLM (diffusion LM) on PRO 6000: 86 tok/s single, 184 tok/s C=16 peak (no CUDA graphs). Model: Qwen3-8B-b2-allmasked. gen_block_size=4. SM120 patches working. Needs AR baseline comparison on same model for 3.8x claim validation.
132	T2G_idlm_vs_ar	e2e_serving	175.6	0	0	0	KILL	0	I-DLM vs AR bake-off: I-DLM wins at C=1 (1.80x: 110 vs 61 tok/s) but AR dominates at batch (C=32: 1591 vs 176 tok/s = 0.11x). I-DLM doesn't batch — each request does full verify. The 3.8x claim is for prompt throughput or different hardware. On PRO 6000 SM120, AR wins at C>=8.
133	T2N_fused_shuffle_quant	kernel_bench	0	17.1	0	1.68	KEEP	0	Fused shuffle+quant: 1.48-1.68x speedup (M=32-2048, K=2816). Eliminates BF16 intermediate in MoE dispatch. 23 MoE layers × 1.6x per layer = ~2.3% e2e projected.
134	T1E_turboquant_structured	kv_compression	0	0	0	0	KILL	0	TurboQuant K cosine 0.940 on structured KV (same as random). Below 0.95 threshold. V cosine 0.983 passes. K reconstruction quality insufficient for lossless serving. Could use V-only compression (3-bit V, BF16 K) for 2.5x.
135	T1F_triattention	kv_compression	0	0	0	0	DEFERRED	0	TriAttention: installed, Qwen3 stats exist but for Qwen3-8B not 30B. No Gemma4 stats — needs calibration (full model forward pass). Deferring to dedicated session. The Triton scoring kernel + vLLM plugin are code-ready.
136	T3I_ddtree_tree_build	spec_decode	0	0.54	0	0	PASS	0	DDTree tree construction: 0.20ms (budget=16) to 0.54ms (budget=256). CPU heapq is fast enough for budget<=256 (perf analysis overestimated bottleneck). GPU top-k only needed at budget>=1024. Full spec-decode test needs DFlash draft model training (1-2 days).
137	T2G_idlm_v2	e2e_serving	197.9	0	0	0	KEEP	0	I-DLM v2 (custom_mask): C=1 +10.6% (122 vs 110), C=16 +29.4% (198 vs 153). Correct mask eliminates MASK-to-MASK attention contamination → higher acceptance → more tokens per forward. Phase 1 gate PASSED (>5% improvement).
138	T1C_autoround_oom_bs1	quantization	0	0	0	0	BLOCKED	0	AutoRound OOM at batch_size=1 on Qwen3.6-35B MoE (96GB). MoE layers expand to full expert weights during calibration. Need: smaller model (Qwen3-8B) or CPU offloading or gradient checkpointing.
139	triton_masked_attn	kernel_bench	0	0	0	0	PASS	0	Triton masked attention kernel: 124 lines, cosine sim 1.000000 vs PyTorch ref. Online softmax with per-element bool mask. Designed for I-DLM v2 extend window (N<=256). Ready to integrate into flashinfer_backend.py paged path.
140	idlm_v2_integration	e2e_serving	0	0	0	0	BLOCKED	0	I-DLM v2 Triton masked attention: kernel correct (cos=1.0) but integration crashes. K-zeroing: wrong approach (-63%). Custom_mask: unreachable code path. CuTe direct: SM120a CUTLASS error. Need FlashInfer custom_mask support or direct CuTe varlen fix. Phase 1 concept proven (mask matters for quality), Phase 2 blocked by attention backend limitations.
idlm_v2_mask	v2_kill	idlm_v2	0	0	0	0.56	FAIL	19019	v2 correct mask kills acceptance: 42%→8.6%, 138→77 tok/s. Theory wrong: MASK-to-MASK attention is beneficial. Phase 1 kill criterion hit.
T1B_piecewise_C32	e2e_serving	224.9	0	0	0	PASS	0	FusenCache piecewise CG + T1-B shadow buffers: capture succeeded at B=[1..512], but runtime throughput 224.9 tok/s at C=32 (5% of baseline). Per-step overhead from shadow .copy_() + universal-decode in-place ops regresses vs .clone(). Engine dies at C=64 with cudaErrorIllegalAddress in _to_list pinned.copy_ (Discovery #57 recurrence despite T1-B).
T1B_piecewise_C64	e2e_serving	0	0	0	0	CRASH	0	FusenCache piecewise CG + T1-B: all 60 reqs failed at C=64. EngineCore fatal cudaErrorIllegalAddress at gpu_model_runner._to_list pinned.copy_ after 60 running reqs. Shadow metadata bounds likely inconsistent with max_num_batched_tokens under mixed-batch scheduling.
T1B_piecewise_C128	e2e_serving	0	0	0	0	CRASH	0	FusenCache piecewise CG + T1-B: EngineCore dead from prior C=64 crash; 60/60 reqs failed.
T1B_piecewise_C256	e2e_serving	0	0	0	0	CRASH	0	FusenCache piecewise CG + T1-B: EngineCore dead; 60/60 reqs failed.
T1B_fallback_FULL_C32	e2e_serving	43.4	0	0	0	PASS	0	Fallback config: -cc.cudagraph_mode full captures [1..64] max_num_seqs=256. C=32 only 43.4 tok/s (vs 2017 tok/s FULL_DECODE_ONLY baseline from commit 9cdfdc8). T1-B shadow patch imposes extreme per-step overhead in FULL mode too.
T1B_fallback_FULL_C64	e2e_serving	26.4	0	0	0	PASS	0	Fallback C=64 26.4 tok/s avg_lat 188s. Backend spending most time in shadow metadata copies.
T1B_fallback_FULL_C128	e2e_serving	0	0	0	0	CRASH	0	Fallback C=128 all 60 reqs failed with same cudaErrorIllegalAddress at _to_list. T1-B patch must be reverted before further experiments.
T1B_peak_vs_baseline	e2e_serving	224.9	0	0	0	FAIL	0	T1-B peak 224.9 tok/s at C=32 (piecewise capture did NOT crash - fix worked for capture). Prior 4489 tok/s C=128 baseline NOT beaten (95% regression). Root cause: shadow .copy_() overhead + mixed-batch bounds bug causing illegal-address at higher C. Revert backend.py to backend.py.pre_t1b and revisit patch.
T1F_triattn_prereq	kv_compression	0	0	0	0	KILL	0	T1-F blocked: (1) only NVFP4 modelopt Gemma-4 26B available locally (no BF16 weights); TriAttention calibrate.py requires AutoModelForCausalLM BF16 forward to invert RoPE on pre-RoPE Q states -- incompatible with quantized checkpoint. (2) google/gemma-4-26b-it is a gated HF repo; no offline BF16 fallback. Kill criterion #3 (calibration failure, 2 attempts) applies. pip install -e triattention succeeded so infra is ready; only missing BF16 weights.
T2N_fused_shuffle_quant_swizzled	swizzle_fix	kernel_bench	0	37.0	0	0.54	PASS	0	Swizzled scales match CUTLASS: 100% within +-1 FP8 step on 90112 non-zero positions, zero spurious writes. Triton re-swizzle post-pass adds ~20us, making fused+swizzle (37us) slower than two-op baseline (19us). Root cause: kernel.so ignores (expert_offsets, blockscale_offsets) and writes row-major scales; must be rebuilt with CUTLASS layout writes to recover 1.6x microbench speedup. With rebuilt kernel, e2e projected ~3-4% (MoE dispatch is ~15% of step; 1.6x on ~20% of dispatch = 2% per layer x 30 layers).
idlm_v1_baseline_pro6000	v1_repro	idlm_v1	162.7	0	0	0.65	PASS	83626	v1 repro C=1 no-graph: 162.7 tok/s (vs 138.5 target, +17%), 65%-68% acceptance. SM120 CuTe SM90 fallback fails (MmaF16BF16Op requires sm_90a), patched idlm_blockN to skip CuTe mask_mod in v1 causal path. FlashInfer paged attention used.
idlm_v1_cuda_graphs	v1_graphs	idlm_v1	162.6	0	0	0	KILL	83626	v1 + CUDA graphs: C=1 162.6 tok/s (vs 162.7 no-graph, +0%), C=8 aggregate 165.4 tok/s, C=16 aggregate 154.3 tok/s. Graphs no help: kill criterion (>=+10% at C=1) hit. I-DLM doesn't batch (aggregate ~160 tok/s flat across C=1..16). Next: Medusa/EAGLE3 — no draft model cached, would need training.
T2H_qwen3_nvfp4_C64	qwen3_fp8kv_20260418	e2e_serving	1418.4	5730	0	0	PASS	0	C=64 gen 1418 tok/s — first-run cold start (autotuning). Subsequent runs 10-17k.
